sensor-consumer-1  | 2026-09-21T21:54:18.315652977Z 2026-09-21 21:54:18.315 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=224 alertas=26 invalidas=0 particoes=[1, 4]
sensor-consumer-2  | 2026-09-21T22:06:29.496206034Z 2026-09-21 22:06:29.495 INFO SensorConsumer - [STATS] consumidor=consumidor-5f3b04119deb processadas=157 alertas=12 invalidas=0 particoes=[1, 4]
sensor-consumer-1  | 2026-09-21T21:54:18.814053179Z 2026-09-21 21:54:18.813 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=224 ATENCAO:vibracao=8.62(limite=7.00)
sensor-consumer-1  | 2026-09-21T21:54:19.829995774Z 2026-09-21 21:54:19.829 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=226 ATENCAO:temperatura=97.28(limite=80.00)
sensor-consumer-1  | 2026-09-21T21:54:23.318702620Z 2026-09-21 21:54:23.318 INFO SensorConsumer - [STATS] consumidor=consumidor-c0aa95a89b68 processadas=234 alertas=28 invalidas=0 particoes=[1, 4]
sensor-consumer-3  | 2026-09-21T22:06:40.741563609Z 2026-09-21 22:06:40.741 INFO SensorConsumer - [STATS] consumidor=consumidor-07b7cd127114 processadas=120 alertas=14 invalidas=0 particoes=[0, 3]
sensor-consumer-3  | 2026-09-21T22:06:42.746693255Z 2026-09-21 22:06:42.746 WARN RegistroAlertas - [ALERTA] sensor=sensor-9caa6b672dc8 setor=linha-producao particao=3 offset=1711 ATENCAO:energia=563.06(limite=500.00)
sensor-consumer-2  | 2026-09-21T22:06:29.996243416Z 2026-09-21 22:06:29.995 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=1685 ATENCAO:energia=654.00(limite=500.00)
sensor-consumer-2  | 2026-09-21T22:06:34.501939779Z 2026-09-21 22:06:34.501 INFO SensorConsumer - [STATS] consumidor=consumidor-5f3b04119deb processadas=167 alertas=13 invalidas=0 particoes=[1, 4]
sensor-consumer-2  | 2026-09-21T22:06:36.505314449Z 2026-09-21 22:06:36.504 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=1698 ATENCAO:vibracao=10.26(limite=7.00)
sensor-consumer-2  | 2026-09-21T22:06:37.004740168Z 2026-09-21 22:06:37.004 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=1699 ATENCAO:temperatura=87.45(limite=80.00)
sensor-consumer-2  | 2026-09-21T22:06:39.517307562Z 2026-09-21 22:06:39.516 WARN RegistroAlertas - [ALERTA] sensor=sensor-ecea9084327b setor=linha-producao particao=4 offset=1704 ATENCAO:vibracao=10.71(limite=7.00)
sensor-consumer-2  | 2026-09-21T22:06:39.520597454Z 2026-09-21 22:06:39.519 INFO SensorConsumer - [STATS] consumidor=consumidor-5f3b04119deb processadas=177 alertas=16 invalidas=0 particoes=[1, 4]
sensor-consumer-2  | 2026-09-21T22:06:44.172318572Z 2026-09-21 22:06:44.171 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-5f3b04119deb PERDEU particoes=[1, 4]
sensor-consumer-2  | 2026-09-21T22:06:44.187661334Z 2026-09-21 22:06:44.187 WARN SensorConsumer - [REBALANCE] consumidor=consumidor-5f3b04119deb RECEBEU particoes=[2]
sensor-consumer-2  | 2026-09-21T22:06:45.018850398Z 2026-09-21 22:06:45.017 INFO SensorConsumer - [STATS] consumidor=consumidor-5f3b04119deb processadas=186 alertas=16 invalidas=0 particoes=[2]
sensor-consumer-2  | 2026-09-21T22:06:50.028159692Z 2026-09-21 22:06:50.025 INFO SensorConsumer - [STATS] consumidor=consumidor-5f3b04119deb processadas=186 alertas=16 invalidas=0 particoes=[2]
